127.0.0.1 - - [29/Oct/2021:13:03:19 +0900] "GET / HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81578
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/js/main.js HTTP/1.1" 200 1739
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/images/desk20.jpg HTTP/1.1" 200 433525
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:18 +0900] "GET /login/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:19 +0900] "GET /login/images/icons/favicon.ico HTTP/1.1" 200 32038
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:37 +0900] "GET /login/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 200 143516
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:37 +0900] "GET /user/signup.do HTTP/1.1" 200 9233
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:05:40 +0900] "POST /user/idCheck.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:06:44 +0900] "POST /user/inserUserInfo.do HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:06:46 +0900] "GET /user/login.do HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:06:58 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/animate.css HTTP/1.1" 200 73641
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/magnific-popup.css HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/aos.css HTTP/1.1" 200 25983
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/owl.theme.default.min.css HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/flaticon.css HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/jquery.timepicker.css HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/icomoon.css HTTP/1.1" 200 79875
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/ionicons.min.css HTTP/1.1" 200 46816
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/style.css HTTP/1.1" 200 252293
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /css/profile.css HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/js/jquery.min.js HTTP/1.1" 200 268038
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:00 +0900] "GET /andrea-master/css/bootstrap-datepicker.css HTTP/1.1" 200 17945
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11421
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/popper.min.js HTTP/1.1" 200 19032
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/jquery.easing.1.3.js HTTP/1.1" 200 8111
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/owl.carousel.min.js HTTP/1.1" 200 43216
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/aos.js HTTP/1.1" 200 14244
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/jquery.animateNumber.min.js HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/scrollax.min.js HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/js/main.js HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/images/image_1.jpg HTTP/1.1" 200 141705
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/images/bg_1.jpg HTTP/1.1" 200 142304
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:07:01 +0900] "GET /andrea-master/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:08:44 +0900] "POST /FileUplod.do HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:04 +0900] "GET /mbti/mbtimain.do HTTP/1.1" 200 10439
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:04 +0900] "GET /mbti/null HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:04 +0900] "GET /andrea-master/images/mbtiex00.png HTTP/1.1" 200 147814
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:04 +0900] "GET /andrea-master/images/mbticon01.jpg HTTP/1.1" 200 111681
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:12 +0900] "GET /mbti/mbtimain.do HTTP/1.1" 200 10439
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:12 +0900] "GET /mbti/null HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:16 +0900] "GET /mbti/mbtianalysis.do HTTP/1.1" 200 30788
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:16 +0900] "GET /mbti/lion.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:09:16 +0900] "GET /andrea-master/images/mbtiex01.png HTTP/1.1" 200 186530
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:12:46 +0900] "GET /mbti/mbtianalysis.do HTTP/1.1" 200 30788
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:12:46 +0900] "GET /mbti/lion.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:12:46 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:12:47 +0900] "GET /andrea-master/js/popper.min.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:12:47 +0900] "GET /andrea-master/js/bootstrap.min.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:12:47 +0900] "GET /andrea-master/js/aos.js.map HTTP/1.1" 404 -
