127.0.0.1 - - [05/Nov/2021:00:44:10 +0900] "GET / HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/css/owl.theme.default.min.css HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/css/icomoon.css HTTP/1.1" 200 79875
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/css/flaticon.css HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/css/style.css HTTP/1.1" 200 252293
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /andrea-master/js/jquery.min.js HTTP/1.1" 200 268038
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:40 +0900] "GET /css/profile.css HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/css/bootstrap-datepicker.css HTTP/1.1" 200 17945
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/css/jquery.timepicker.css HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/css/ionicons.min.css HTTP/1.1" 200 46816
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11421
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/jquery.easing.1.3.js HTTP/1.1" 200 8111
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/popper.min.js HTTP/1.1" 200 19032
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/aos.js HTTP/1.1" 200 14244
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/scrollax.min.js HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/images/image_1.jpg HTTP/1.1" 200 141705
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/images/bg_1.jpg HTTP/1.1" 200 142304
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/jquery.animateNumber.min.js HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/main.js HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/js/owl.carousel.min.js HTTP/1.1" 200 43216
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /andrea-master/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:41 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:44:42 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:45:34 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:45:35 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:45:59 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:45:59 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:16 +0900] "GET /spoilbroth/main.do HTTP/1.1" 200 16515
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:16 +0900] "GET /andrea-master/js/popper.min.js HTTP/1.1" 200 19032
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:16 +0900] "GET /andrea-master/js/jquery.stellar.min.js HTTP/1.1" 200 12597
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:16 +0900] "GET /andrea-master/images/image_3.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:16 +0900] "GET /andrea-master/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 50592
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:16 +0900] "GET /andrea-master/images/image_2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:26 +0900] "GET /spoilbroth/main.do HTTP/1.1" 200 16515
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:26 +0900] "GET /andrea-master/images/image_3.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:27 +0900] "GET /andrea-master/images/image_2.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:48 +0900] "GET /mbti/mbtimain.do HTTP/1.1" 200 10439
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:48 +0900] "GET /andrea-master/images/mbtiex00.png HTTP/1.1" 200 147814
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:48 +0900] "GET /mbti/null HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:47:48 +0900] "GET /andrea-master/images/mbticon01.jpg HTTP/1.1" 200 111681
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:48:06 +0900] "GET /mypage/setting.do HTTP/1.1" 200 10088
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:48:07 +0900] "GET /css/owlowl.css HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:48:10 +0900] "GET /mypage/mbtiModify.do HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:48:21 +0900] "GET /mypage/setting.do HTTP/1.1" 200 10088
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:48:21 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:48:45 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:49:36 +0900] "GET /user/logOut.do HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:49:38 +0900] "GET /user/login.do HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:49:38 +0900] "GET /login/images/icons/favicon.ico HTTP/1.1" 200 32038
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:49:45 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:49:46 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:49:47 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:15 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:15 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:34 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:34 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:38 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:41 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:50:41 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:51:40 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:51:40 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:52:00 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:00:52:00 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:36 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:37 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:38 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:53 +0900] "GET /andrea-master/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:54 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:54 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:07:59 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:01 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:01 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:33 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:34 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:41 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:41 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:53 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:55 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:08:55 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:09:36 +0900] "GET /andrea-master/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:09:36 +0900] "GET /andrea-master/js/jquery.easing.1.3.js HTTP/1.1" 200 8111
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:09:36 +0900] "GET /andrea-master/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:09:36 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:09:47 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:09:47 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:10:08 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:10:08 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:10:13 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:10:15 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:10:15 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:11:38 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:11:38 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:01 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:01 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:16 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:18 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:19 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:35 +0900] "GET /login/vendor/bootstrap/js/popper.js.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:35 +0900] "GET /login/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 502438
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:38 +0900] "POST /user/loginProc.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:40 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:13:41 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:32:48 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:32:48 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:32:48 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:32:55 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:32:55 +0900] "GET /andrea-master/css/aos.css.map HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:33:03 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:33:04 +0900] "GET /spoilbroth/mystudy.do HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [05/Nov/2021:01:33:04 +0900] "GET /getImage.do?user_id=sukm386 HTTP/1.1" 200 266825
